date_str;artist;single;record_label;weeks
September 7, 1985;John Parr;"""St. Elmo's Fire (Man in Motion)""";Atlantic;2
September 21, 1985;Dire Straits;"""Money for Nothing""";Warner Bros.;3
October 12, 1985;Ready for the World;"""Oh Sheila""";MCA;1
October 19, 1985;a-ha;"""Take On Me""";Warner Bros.;1
October 26, 1985;Whitney Houston;"""Saving All My Love for You""";Arista;1
November 2, 1985;Stevie Wonder;"""Part-Time Lover""";Motown;1
November 9, 1985;Jan Hammer;"""Miami Vice Theme""";MCA;1
November 16, 1985;Starship;"""We Built This City""";Grunt/RCA;2
November 30, 1985;Phil Collins and Marilyn Martin;"""Separate Lives""";Atlantic;1
December 7, 1985;Mr. Mister;"""Broken Wings""";RCA;2
December 21, 1985;Lionel Richie;"""Say You, Say Me""";Motown;4
1986;1986;1986;1986;1986
January 18, 1986;Dionne Warwick;"""That's What Friends Are For""♪ (1986)";Arista;4
February 15, 1986;Whitney Houston;"""How Will I Know""";Arista;2
March 1, 1986;Mr. Mister;"""Kyrie""";RCA;2
March 15, 1986;Starship;"""Sara""";Grunt/RCA;1
March 22, 1986;Heart;"""These Dreams""";Capitol;1
March 29, 1986;Falco;"""Rock Me Amadeus""";A&M;3
April 19, 1986;Prince and the Revolution;"""Kiss""";Warner Bros.;2
May 3, 1986;Robert Palmer;"""Addicted to Love""";Island;1
May 10, 1986;Pet Shop Boys;"""West End Girls""";EMI;1
May 17, 1986;Whitney Houston;"""Greatest Love of All""";Arista;3
June 7, 1986;Madonna;"""Live to Tell""";Warner Bros.;1
June 14, 1986;Patti LaBelle and Michael McDonald;"""On My Own""";MCA;3
July 5, 1986;Billy Ocean;"""There'll Be Sad Songs (To Make You Cry)""";Arista;1
July 12, 1986;Simply Red;"""Holding Back the Years""";Elektra;1
July 19, 1986;Genesis;"""Invisible Touch""";Atlantic;1
July 26, 1986;Peter Gabriel;"""Sledgehammer""";Warner Bros.;1
August 2, 1986;Peter Cetera;"""Glory of Love""";Warner Bros.;2
August 16, 1986;Madonna;"""Papa Don't Preach""";Warner Bros.;2
August 30, 1986;Steve Winwood;"""Higher Love""";Island;1
September 6, 1986;Bananarama;"""Venus""";London/PolyGram;1
September 13, 1986;Berlin;"""Take My Breath Away""";Columbia;1
September 20, 1986;Huey Lewis and the News;"""Stuck with You""";Chrysalis/EMI;3
October 11, 1986;Janet Jackson;"""When I Think of You""";A&M;2
October 25, 1986;Cyndi Lauper;"""True Colors""";Epic;2
November 8, 1986;Boston;"""Amanda""";MCA;2
November 22, 1986;Human League;"""Human""";A&M;1
November 29, 1986;Bon Jovi;"""You Give Love a Bad Name""";Mercury/PolyGram;1
December 6, 1986;Peter Cetera and Amy Grant;"""The Next Time I Fall""";Warner Bros.;1
December 13, 1986;Bruce Hornsby & the Range;"""The Way It Is""";RCA;1
December 20, 1986;The Bangles;"""Walk Like an Egyptian""♪ (1987)";Columbia;4
1987;1987;1987;1987;1987
January 17, 1987;Gregory Abbott;"""Shake You Down""";Columbia;1
January 24, 1987;Billy Vera and the Beaters;"""At This Moment""";Rhino;2
February 7, 1987;Madonna;"""Open Your Heart""";Warner Bros.;1
February 14, 1987;Bon Jovi;"""Livin' on a Prayer""";Mercury/PolyGram;4
March 14, 1987;Huey Lewis and the News;"""Jacob's Ladder""";Chrysalis/EMI;1
March 21, 1987;Club Nouveau;"""Lean on Me""";Warner Bros.;2
April 4, 1987;Starship;"""Nothing's Gonna Stop Us Now""";Grunt/RCA;2
April 18, 1987;Aretha Franklin and George Michael;"""I Knew You Were Waiting (for Me)""";Arista;2
May 2, 1987;Cutting Crew;"""(I Just) Died in Your Arms""";Virgin;2
May 16, 1987;U2;"""With or Without You""";Atlantic;3
June 6, 1987;Kim Wilde;"""You Keep Me Hangin' On""";MCA;1
June 13, 1987;Atlantic Starr;"""Always""";Warner Bros.;1
June 20, 1987;Lisa Lisa and Cult Jam;"""Head to Toe""";Columbia;1
June 27, 1987;Whitney Houston;"""I Wanna Dance with Somebody (Who Loves Me)""";Arista;2
July 11, 1987;Heart;"""Alone""";Capitol;3
August 1, 1987;Bob Seger;"""Shakedown""";MCA;1
August 8, 1987;U2;"""I Still Haven't Found What I'm Looking For""";Atlantic;2
August 22, 1987;Madonna;"""Who's That Girl""";Warner Bros.;1
August 29, 1987;Los Lobos;"""La Bamba""";Warner Bros.;3
September 19, 1987;Michael Jackson with Siedah Garrett;"""I Just Can't Stop Loving You""";Epic;1
September 26, 1987;Whitney Houston;"""Didn't We Almost Have It All""";Arista;2
October 10, 1987;Whitesnake;"""Here I Go Again""";Geffen;1
October 17, 1987;Lisa Lisa and Cult Jam;"""Lost in Emotion""";Columbia;1
October 24, 1987;Michael Jackson;"""Bad""";Epic;2
November 7, 1987;Tiffany;"""I Think We're Alone Now""";MCA;2
November 21, 1987;Billy Idol;"""Mony Mony""";Chrysalis/EMI;1
November 28, 1987;Bill Medley and Jennifer Warnes;"""(I've Had) The Time of My Life""";RCA;1
December 5, 1987;Belinda Carlisle;"""Heaven Is a Place on Earth""";MCA;1
December 12, 1987;George Michael;"""Faith""♪ (1988)";Columbia;4
1988;1988;1988;1988;1988
January 9, 1988;Whitney Houston;"""So Emotional""";Arista;1
January 16, 1988;George Harrison;"""Got My Mind Set on You""";Dark Horse/Warner Bros.;1
January 23, 1988;Michael Jackson;"""The Way You Make Me Feel""";Epic;1
January 30, 1988;INXS;"""Need You Tonight""";Atlantic;1
February 6, 1988;Tiffany;"""Could've Been""";MCA;2
February 20, 1988;Exposé;"""Seasons Change""";Arista;1
February 27, 1988;George Michael;"""Father Figure""";Columbia;2
March 12, 1988;Rick Astley;"""Never Gonna Give You Up""";RCA;2
March 26, 1988;Michael Jackson;"""Man in the Mirror""";Epic;2
April 9, 1988;Billy Ocean;"""Get Outta My Dreams, Get into My Car""";Arista;2
April 23, 1988;Whitney Houston;"""Where Do Broken Hearts Go""";Arista;2
May 7, 1988;Terence Trent D'Arby;"""Wishing Well""";Columbia;1
May 14, 1988;Gloria Estefan and Miami Sound Machine;"""Anything for You""";Epic;2
May 28, 1988;George Michael;"""One More Try""";Columbia;3
June 18, 1988;Rick Astley;"""Together Forever""";RCA;1
June 25, 1988;Debbie Gibson;"""Foolish Beat""";Atlantic;1
July 2, 1988;Michael Jackson;"""Dirty Diana""";Epic;1
July 9, 1988;Cheap Trick;"""The Flame""";Epic;2
July 23, 1988;Richard Marx;"""Hold On to the Nights""";EMI;1
July 30, 1988;Steve Winwood;"""Roll with It""";Virgin;4
August 27, 1988;George Michael;"""Monkey""";Columbia;2
September 10, 1988;Guns N' Roses;"""Sweet Child o' Mine""";Geffen;2
September 24, 1988;Bobby McFerrin;"""Don't Worry, Be Happy""";EMI-Manhattan;2
October 8, 1988;Def Leppard;"""Love Bites""";Mercury/PolyGram;1
October 15, 1988;UB40;"""Red Red Wine""";A&M;1
October 22, 1988;Phil Collins;"""A Groovy Kind of Love""";Atlantic;2
November 5, 1988;The Beach Boys;"""Kokomo""";Elektra;1
November 12, 1988;The Escape Club;"""Wild, Wild West""";Atlantic;1
November 19, 1988;Bon Jovi;"""Bad Medicine""";Mercury/PolyGram;2
December 3, 1988;Will to Power;"""Baby, I Love Your Way / Freebird Medley (Free Baby)""";Epic;1
December 10, 1988;Chicago;"""Look Away""♪ (1989)";Full Moon/Reprise;2
December 24, 1988;Poison;"""Every Rose Has Its Thorn""";Capitol;3
1989;1989;1989;1989;1989
January 14, 1989;Bobby Brown;"""My Prerogative""";MCA;1
January 21, 1989;Phil Collins;"""Two Hearts""";Atlantic;2
February 4, 1989;Sheriff;"""When I'm with You""";Capitol;1
February 11, 1989;Paula Abdul;"""Straight Up""";Virgin;3
March 4, 1989;Debbie Gibson;"""Lost in Your Eyes""";Atlantic;3
March 25, 1989;Mike + The Mechanics;"""The Living Years""";Atlantic;1
April 1, 1989;The Bangles;"""Eternal Flame""";Columbia;1
April 8, 1989;Roxette;"""The Look""";EMI;1
April 15, 1989;Fine Young Cannibals;"""She Drives Me Crazy""";MCA;1
April 22, 1989;Madonna;"""Like a Prayer""";Warner Bros.;3
May 13, 1989;Bon Jovi;"""I'll Be There for You""";Mercury/PolyGram;1
May 20, 1989;Paula Abdul;"""Forever Your Girl""";Virgin;2
June 3, 1989;Michael Damian;"""Rock On""";A&M;1
June 10, 1989;Bette Midler;"""Wind Beneath My Wings""";Atlantic;1
June 17, 1989;New Kids on the Block;"""I'll Be Loving You (Forever)""";Columbia;1
June 24, 1989;Richard Marx;"""Satisfied""";EMI;1
July 1, 1989;Milli Vanilli;"""Baby Don't Forget My Number""";Arista;1
July 8, 1989;Fine Young Cannibals;"""Good Thing""";MCA;1
July 15, 1989;Simply Red;"""If You Don't Know Me by Now""";Elektra;1
July 22, 1989;Martika;"""Toy Soldiers""";Columbia;2
August 5, 1989;Prince;"""Batdance""";Warner Bros.;1
August 12, 1989;Richard Marx;"""Right Here Waiting""";EMI;3
September 2, 1989;Paula Abdul;"""Cold Hearted""";Virgin;1
September 9, 1989;New Kids on the Block;"""Hangin' Tough""";Columbia;1
September 16, 1989;Gloria Estefan;"""Don't Wanna Lose You""";Epic;1
September 23, 1989;Milli Vanilli;"""Girl I'm Gonna Miss You""";Arista;2
October 7, 1989;Janet Jackson;"""Miss You Much""";A&M;4
November 4, 1989;Roxette;"""Listen to Your Heart""";EMI;1
November 11, 1989;Bad English;"""When I See You Smile""";Epic;2
November 25, 1989;Milli Vanilli;"""Blame It on the Rain""";Arista;2
December 9, 1989;Billy Joel;"""We Didn't Start the Fire""";Columbia;2
December 23, 1989;Phil Collins;"""Another Day in Paradise""";Atlantic;4
